,Country,State,City,Zip_Code,Latitude,Longitude,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,CLTV,churn_probability,monthly_charges,revenue_at_risk,y_true
637,United States,California,Dunlap,93621,36.789213,-119.140338,Female,Yes,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.85,1531.4,2292,0.7779623154623154,104.85,978.8321853146851,1
808,United States,California,Echo Lake,95721,38.851842,-120.076204,Male,No,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,323.25,3662,0.7736247086247086,105.35,978.0163566433566,1
2567,United States,California,Palo Alto,94306,37.416159,-122.131337,Female,Yes,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.25,308.05,5251,0.9733333333333334,83.25,972.36,0
3712,United States,California,Fresno,93710,36.822715,-119.761826,Female,No,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.75,512.25,4297,0.8894736842105264,90.75,968.6368421052633,0
654,United States,California,Lockwood,93932,35.989792,-121.055933,Female,Yes,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.4,1581.2,2688,0.8339181286549706,96.4,964.6764912280701,1
5570,United States,California,Beverly Hills,90210,34.099891,-118.414338,Male,Yes,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.6,1273.3,3502,0.8339181286549706,95.6,956.6708771929823,0
362,United States,California,Elmira,95625,38.349195,-121.902943,Male,No,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.6,813.85,5146,0.9294736842105262,85.6,954.7553684210525,1
1225,United States,California,Garden Valley,95633,38.852544,-120.837669,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.2,193.8,5299,0.8438676236044657,94.2,953.907961722488,1
446,United States,California,Los Angeles,90047,33.958149,-118.308441,Male,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.3,264.8,4934,0.9294736842105262,85.3,951.4092631578947,1
1350,United States,California,Pasadena,91107,34.159007,-118.087353,Male,Yes,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.25,2433.9,2104,0.759411294697748,104.25,950.0235296668827,1
158,United States,California,Bodfish,93205,35.523991,-118.400432,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,4996,0.8739181286549709,89.55,939.1124210526317,1
1615,United States,California,Sheep Ranch,95250,38.244806,-120.417301,Male,No,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359.0,2003,0.7627913752913752,102.25,935.9450174825174,1
287,United States,California,Los Gatos,95030,37.222842,-121.988727,Male,Yes,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.45,1622.45,5508,0.7719946719946721,100.45,930.5623776223778,1
713,United States,California,Boulder Creek,95006,37.171727,-122.142961,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.7,169.8,2187,0.9009022556390978,85.7,926.4878796992481,1
354,United States,California,Whitethorn,95589,40.053159,-123.995867,Female,No,Yes,No,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,87.25,1258.6,4786,0.8833198380566802,87.25,924.8358704453442,1
89,United States,California,Valley Center,92082,33.25283,-116.986079,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,4157,0.8489181286549708,90.4,920.9063859649124,1
236,United States,California,Palo Alto,94304,37.386978,-122.177746,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.6,360.1,2467,0.9044736842105262,84.6,918.2216842105261,1
1459,United States,California,Garden Grove,92841,33.786738,-117.982564,Female,No,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,3591,0.8489181286549708,89.45,911.2287192982457,1
129,United States,California,Homeland,92548,33.761894,-117.120868,Male,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,167.5,3715,0.8024708624708626,94.2,907.1130629370632,1
145,United States,California,Anaheim,92807,33.848733,-117.788357,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,346.2,5808,0.8453467000835422,89.2,904.8591077694235,1
623,United States,California,Benton,93512,37.653947,-118.231443,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.35,88.35,4254,0.8489181286549708,88.35,900.0230000000001,1
282,United States,California,Alviso,95002,37.449537,-121.994813,Male,No,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.05,713.0,2561,0.7627913752913752,98.05,897.5003321678321,1
2582,United States,California,Concord,94519,37.990118,-122.012188,Male,No,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,2162.6,3729,0.7627913752913752,95.1,870.4975174825172,0
732,United States,California,Stockton,95212,38.049457,-121.21653,Male,No,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.9,1048.85,2832,0.761871706365637,94.9,867.6194992091874,1
6702,United States,California,Davis Creek,96108,41.750354,-120.403885,Female,Yes,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.1,816.8,2893,0.8008155523478191,90.1,865.8417751984618,0
719,United States,California,Santa Cruz,95060,36.993451,-122.098858,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.65,95.65,3473,0.7431485181485181,95.65,852.9858691308691,1
1633,United States,California,Riverbank,95367,37.734971,-120.954271,Female,Yes,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.15,997.65,4074,0.7431485181485181,95.15,848.526978021978,1
809,United States,California,Pollock Pines,95726,38.733908,-120.453416,Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.05,762.1,2545,0.8084684093766981,87.05,844.5261004348988,1
5745,United States,California,Chula Vista,91913,32.64164,-116.985026,Male,No,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.55,1173.55,5674,0.7368185784935527,94.55,835.9943591587848,0
6493,United States,California,Myers Flat,95554,40.267158,-123.805913,Female,No,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.5,2341.55,4861,0.7431485181485181,93.5,833.8126373626374,0
1782,United States,California,Paramount,90723,33.897122,-118.164432,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,2650,0.815619352355793,85.0,831.9317394029088,1
370,United States,California,Pleasant Grove,95668,38.833554,-121.498102,Female,Yes,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.8,442.85,2268,0.6932723926598018,99.8,830.2630174493786,1
3549,United States,California,Somis,93066,34.297628,-119.014627,Female,Yes,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,5157,0.6908355888966892,100.15,830.246210736041,0
6213,United States,California,Brentwood,94513,37.908242,-121.682472,Male,No,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,5754,0.8136752136752137,85.0,829.9487179487179,0
1570,United States,California,Dublin,94568,37.713926,-121.928425,Male,No,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.85,84.85,3086,0.8136752136752137,84.85,828.4841025641024,1
1293,United States,California,Carnelian Bay,96140,39.227434,-120.091806,Male,No,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.35,2515.3,4997,0.7010574663431806,98.35,827.3880217782216,1
1933,United States,California,Manhattan Beach,90266,33.889632,-118.39737,Male,No,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,3540,0.6932723926598018,99.3,826.1033830934198,0
1106,United States,California,San Francisco,94123,37.800254,-122.436975,Female,No,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.85,256.6,4062,0.9009022556390978,75.85,820.0012330827067,1
598,United States,California,Piru,93040,34.432843,-118.730106,Male,No,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,5554,0.915,74.5,818.01,1
1053,United States,California,Tipton,93272,36.047414,-119.344304,Female,No,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.5,362.2,4554,0.7270574663431806,93.5,815.7584772370486,1
2788,United States,California,Albion,95410,39.225694,-123.717354,Male,Yes,Yes,No,23,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.45,2117.25,5272,0.7508818904700035,90.45,815.0072039161419,0
1032,United States,California,Camarillo,93012,34.205504,-118.993111,Male,No,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.2,1776.55,2058,0.7516056924683626,90.2,813.5380015277558,1
284,United States,California,Davenport,95017,37.114335,-122.237162,Male,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.95,171.15,3533,0.8339181286549706,80.95,810.0680701754385,1
3071,United States,California,Milford,96121,40.181279,-120.392967,Male,Yes,Yes,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.6,4009.2,5469,0.6557055601807491,102.6,807.3046856945382,0
988,United States,California,Hinkley,92347,34.983808,-117.239306,Male,No,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.35,307.4,4167,0.8288676236044659,80.35,799.194162679426,1
135,United States,California,Sun City,92587,33.69887,-117.25071,Male,No,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.05,3480.0,2568,0.663426238813648,100.05,796.5095423196658,1
1848,United States,California,San Diego,92113,32.697098,-117.116587,Male,No,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,265.35,3622,0.8894736842105264,74.35,793.5884210526316,1
2684,United States,California,Scotts Valley,95066,37.070177,-122.010077,Female,No,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.75,769.1,4654,0.8277642825011245,79.75,792.1704183535762,0
1161,United States,California,Stockton,95209,38.044523,-121.348048,Female,Yes,No,No,30,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.7,2967.35,3548,0.6557055601807491,99.7,784.4861322002482,1
5463,United States,California,Forks Of Salmon,96031,41.232128,-123.194748,Male,No,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,100.85,3527.3,5891,0.646705560180749,100.85,782.6430689307424,0
1853,United States,California,Indio,92201,33.713891,-116.237257,Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),95.65,778.1,5335,0.6817055601807491,95.65,782.4616419754639,1
1323,United States,California,Malibu,90263,34.037037,-118.705803,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.6,195.05,4322,0.8180342902711324,79.6,781.3863540669856,1
1756,United States,California,Los Angeles,90017,34.052842,-118.264495,Male,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.45,76.45,3763,0.8489181286549708,76.45,778.7974912280704,1
579,United States,California,Dana Point,92629,33.477923,-117.705314,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.5,79.5,4490,0.8136302618246163,79.5,776.203269780684,1
3602,United States,California,Bakersfield,93301,35.383937,-119.020428,Female,No,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.0,424.75,4456,0.7678418803418803,84.0,773.9846153846153,0
5169,United States,California,Sheep Ranch,95250,38.244806,-120.417301,Female,Yes,Yes,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.1,2510.7,3114,0.6557055601807491,98.1,771.8965854447779,0
1148,United States,California,Los Gatos,95032,37.233034,-121.947427,Female,No,Yes,No,21,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.5,1808.7,2036,0.7431485181485181,86.5,771.3881618381619,1
803,United States,California,Thornton,95686,38.157794,-121.520223,Male,No,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.4,556.35,4539,0.7599929059878747,84.4,769.7208151845196,1
1170,United States,California,Lockeford,95237,38.166791,-121.14207,Male,No,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.9,324.3,4669,0.8024708624708626,79.9,769.4090629370631,1
4062,United States,California,Fortuna,95540,40.584991,-124.121504,Male,No,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,90.4,268.45,5625,0.7075851517013335,90.4,767.5883725656066,0
641,United States,California,North Fork,93643,37.244307,-119.470256,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.15,77.15,2756,0.8277642825011245,77.15,766.3441727395411,1
1204,United States,California,Redwood Valley,95470,39.298065,-123.25211,Female,No,Yes,No,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,102.8,2110.15,3123,0.6193644230570032,102.8,764.0479522831192,1
1018,United States,California,Silverado,92676,33.782346,-117.635263,Female,No,No,No,30,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,2983.8,3598,0.6353209447961337,100.2,763.9099040228712,1
6688,United States,California,Scott Bar,96085,41.737962,-123.07557,Female,No,No,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.0,3320.6,4643,0.6353209447961337,100.0,762.3851337553604,0
1745,United States,California,Carnelian Bay,96140,39.227434,-120.091806,Female,No,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.1,1215.6,2973,0.6740929054803146,94.1,761.1857088683712,1
1845,United States,California,San Diego,92109,32.787836,-117.232376,Male,Yes,No,No,25,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.5,2196.15,4849,0.7084267436700505,89.5,760.8503227016342,1
1083,United States,California,Parlier,93648,36.622237,-119.521126,Male,Yes,Yes,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.55,2510.2,2999,0.663426238813648,95.55,760.6845254237288,1
1212,United States,California,Rio Dell,95562,40.485849,-124.163234,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.55,166.3,4320,0.8339181286549706,75.55,756.0301754385964,1
1337,United States,California,San Pedro,90732,33.744119,-118.31448,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.0,237.75,3128,0.8180342902711324,77.0,755.8636842105263,1
98,United States,California,Indio,92201,33.713891,-116.237257,Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,3424,0.6932723926598018,90.85,755.8055624777159,1
1310,United States,California,Los Angeles,90041,34.137412,-118.207607,Female,No,No,No,18,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.05,1740.7,5581,0.6557055601807491,96.05,755.7662286643314,1
4760,United States,California,Port Hueneme,93041,34.110124,-119.100972,Female,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.95,1745.5,5009,0.6557055601807491,95.95,754.9793819921146,0
6167,United States,California,Menlo Park,94025,37.449551,-122.183762,Male,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.4,533.05,3533,0.8339181286549706,75.4,754.5291228070174,0
691,United States,California,Sunol,94586,37.587494,-121.862856,Male,No,No,No,24,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.35,2238.5,5546,0.6932723926598018,90.35,751.645928121757,1
1580,United States,California,Oakland,94611,37.828416,-122.216005,Male,No,Yes,No,7,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.75,608.8,3807,0.6932723926598018,89.75,746.6543668946065,1
223,United States,California,Loma Mar,94021,37.266388,-122.26308,Male,No,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,5803,0.5640395738551931,110.1,745.2090849774811,1
6011,United States,California,Mc Kittrick,93251,35.38381,-119.730885,Male,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.85,485.25,2259,0.8277642825011245,74.85,743.4978785425101,0
1481,United States,California,Fellows,93224,35.215731,-119.57013,Female,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,220.6,5948,0.8180342902711324,75.5,741.139066985646,1
1130,United States,California,Vallejo,94590,38.104705,-122.247387,Female,Yes,No,No,37,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.55,3580.3,4448,0.6353209447961337,96.55,736.0828466408004,1
2666,United States,California,Castroville,95012,36.784481,-121.759054,Male,Yes,Yes,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.85,4564.9,2641,0.6193644230570032,98.85,734.6900786302172,0
1760,United States,California,Los Angeles,90027,34.127194,-118.295647,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,2016,0.8215046952091167,74.5,734.4251975169504,1
1485,United States,California,Maricopa,93252,34.737031,-119.460557,Female,No,No,No,13,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.65,1244.5,2110,0.6283644230570032,96.65,728.7770578615124,1
172,United States,California,Shafter,93263,35.490705,-119.286833,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.0,80.0,2046,0.7547456568976461,80.0,724.5558306217403,1
830,United States,California,Palermo,95968,39.435756,-121.552071,Male,No,No,No,25,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.9,2448.75,2241,0.6283644230570032,95.9,723.1217780539994,1
985,United States,California,Fontana,92336,34.136367,-117.460803,Male,No,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.05,318.9,3685,0.7916375291375293,76.05,722.4484090909092,1
1314,United States,California,Los Angeles,90056,33.987945,-118.370442,Male,No,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,834.2,5075,0.8088730694256844,74.35,721.6765525415956,1
1671,United States,California,Elmira,95625,38.349195,-121.902943,Female,No,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.0,303.15,2085,0.7602913752913751,79.0,720.7562237762236,1
2093,United States,California,Jamul,91935,32.695681,-116.798386,Male,No,No,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,90.4,356.65,3314,0.663426238813648,90.4,719.6847838650453,0
374,United States,California,Sloughhouse,95683,38.470423,-121.114897,Female,No,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.3,1308.4,4003,0.7099996653870745,84.3,718.2356615055645,1
999,United States,California,San Bernardino,92408,34.084909,-117.258107,Female,Yes,No,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.25,2351.8,5154,0.6557055601807491,91.25,717.9975883979203,1
6096,United States,California,Cutler,93615,36.497895,-119.285484,Female,No,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.85,1992.55,2113,0.5987781817808318,99.85,717.4560174097926,0
1808,United States,California,Burbank,91501,34.188339,-118.300942,Male,No,No,No,13,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.0,1301.7,3493,0.6033644230570032,99.0,716.7969345917198,1
1028,United States,California,Placentia,92870,33.881158,-117.854783,Female,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.8,78.8,5075,0.7577054587819705,78.8,716.4862818242312,1
4797,United States,California,Onyx,93255,35.676978,-118.101378,Male,No,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,90.7,237.65,3953,0.6557055601807491,90.7,713.6699317007274,0
6613,United States,California,Clipper Mills,95930,39.562239,-121.14836,Male,No,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,90.65,367.95,3559,0.6557055601807491,90.65,713.276508364619,0
